2025-08-14 17:31:44,704 - {'ts': '2025-08-14 15:31:00+0000', 'symbol': 'BFUSD/USDT', 'price': 0.9995, 'score': 50, 'weight': 0.25, 'entry': False, 'exit': False, 'sl': 0.99927287, 'tp': 0.99986341}
2025-08-14 17:33:00,464 - {'ts': '2025-08-14 15:32:00+0000', 'symbol': 'BICO/USDT', 'price': 0.1133, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.11252136, 'tp': 0.11454582}
2025-08-14 17:34:14,950 - {'ts': '2025-08-14 15:34:00+0000', 'symbol': 'BIFI/USDT', 'price': 195.3, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 194.42938463, 'tp': 196.69298459}
2025-08-14 17:35:30,633 - {'ts': '2025-08-14 15:35:00+0000', 'symbol': 'BIGTIME/USDT', 'price': 0.05731, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.0571236, 'tp': 0.05760824}
2025-08-14 17:36:48,307 - {'ts': '2025-08-14 15:36:00+0000', 'symbol': 'BIO/USDT', 'price': 0.1069, 'score': 70, 'weight': 0.25, 'entry': False, 'exit': False, 'sl': 0.10619147, 'tp': 0.10803365}
2025-08-14 17:38:02,333 - {'ts': '2025-08-14 15:37:00+0000', 'symbol': 'BLUR/USDT', 'price': 0.0828, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.08243636, 'tp': 0.08338182}
2025-08-14 17:39:28,199 - {'ts': '2025-08-14 15:39:00+0000', 'symbol': 'BMT/USDT', 'price': 0.0764, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.07610228, 'tp': 0.07687635}
2025-08-14 17:40:41,674 - {'ts': '2025-08-14 15:40:00+0000', 'symbol': 'BNB/USDT', 'price': 848.09, 'score': 60, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 844.80348362, 'tp': 853.34842621}
2025-08-14 17:41:55,297 - {'ts': '2025-08-14 15:41:00+0000', 'symbol': 'BNSOL/USDT', 'price': 209.3, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 208.48429007, 'tp': 210.60513588}
2025-08-14 17:43:06,166 - {'ts': '2025-08-14 15:43:00+0000', 'symbol': 'BNT/USDT', 'price': 0.7932, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.79069649, 'tp': 0.79720561}
2025-08-14 17:44:25,576 - {'ts': '2025-08-14 15:44:00+0000', 'symbol': 'BOME/USDT', 'price': 0.00194, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.00193014, 'tp': 0.00195577}
2025-08-14 17:45:41,208 - {'ts': '2025-08-14 15:45:00+0000', 'symbol': 'BONK/USDT', 'price': 2.43e-05, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 2.413e-05, 'tp': 2.457e-05}
2025-08-14 17:46:53,243 - {'ts': '2025-08-14 15:46:00+0000', 'symbol': 'BROCCOLI714/USDT', 'price': 0.02545, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.02530129, 'tp': 0.02568794}
2025-08-14 17:48:07,656 - {'ts': '2025-08-14 15:48:00+0000', 'symbol': 'BTC/USDT', 'price': 118132.05, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 117880.05231253, 'tp': 118535.24629995}
2025-08-14 17:50:09,120 - {'ts': '2025-08-14 15:50:00+0000', 'symbol': 'BTTC/USDT', 'price': 6.8e-07, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 6.6e-07, 'tp': 7.1e-07}
2025-08-14 17:50:28,956 - {'ts': '2025-08-14 15:50:00+0000', 'symbol': 'C/USDT', 'price': 0.2366, 'score': 40, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.2350502, 'tp': 0.23907968}
2025-08-14 17:52:05,598 - {'ts': '2025-08-14 15:51:00+0000', 'symbol': 'C98/USDT', 'price': 0.0541, 'score': 50, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.05387332, 'tp': 0.05446268}
2025-08-14 17:53:39,043 - {'ts': '2025-08-14 15:53:00+0000', 'symbol': 'CAKE/USDT', 'price': 2.764, 'score': 40, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 2.75320749, 'tp': 2.78126801}
2025-08-14 17:55:26,796 - {'ts': '2025-08-14 15:55:00+0000', 'symbol': 'CATI/USDT', 'price': 0.0891, 'score': 40, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.08875485, 'tp': 0.08965223}
2025-08-14 17:56:43,738 - {'ts': '2025-08-14 15:56:00+0000', 'symbol': 'CELO/USDT', 'price': 0.3483, 'score': 50, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.34689731, 'tp': 0.3505443}
2025-08-14 17:58:15,601 - {'ts': '2025-08-14 15:58:00+0000', 'symbol': 'CELR/USDT', 'price': 0.00792, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.00790368, 'tp': 0.00794611}
2025-08-14 18:00:23,854 - {'ts': '2025-08-14 16:00:00+0000', 'symbol': 'CETUS/USDT', 'price': 0.1064, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.10581705, 'tp': 0.10733273}
2025-08-14 18:01:48,570 - {'ts': '2025-08-14 16:01:00+0000', 'symbol': 'CFX/USDT', 'price': 0.1809, 'score': 0, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.18009659, 'tp': 0.18218546}
2025-08-14 18:05:03,233 - CGPT/USDT error: binance GET https://api.binance.com/api/v3/klines?interval=1m&limit=1000&symbol=CGPTUSDT&startTime=1747032000000
2025-08-14 18:06:21,802 - {'ts': '2025-08-14 16:06:00+0000', 'symbol': 'CHESS/USDT', 'price': 0.0727, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.07224401, 'tp': 0.07342959}
2025-08-14 18:07:33,608 - {'ts': '2025-08-14 16:07:00+0000', 'symbol': 'CHR/USDT', 'price': 0.094, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.09375992, 'tp': 0.09438413}
2025-08-14 18:08:47,743 - {'ts': '2025-08-14 16:08:00+0000', 'symbol': 'CHZ/USDT', 'price': 0.04066, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.04046077, 'tp': 0.04097876}
2025-08-14 18:10:00,555 - {'ts': '2025-08-14 16:09:00+0000', 'symbol': 'CITY/USDT', 'price': 1.193, 'score': 70, 'weight': 0.25, 'entry': True, 'exit': False, 'sl': 1.16656839, 'tp': 1.23529058}
2025-08-14 18:13:20,019 - {'ts': '2025-08-14 16:13:00+0000', 'symbol': 'CKB/USDT', 'price': 0.005236, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.00520857, 'tp': 0.00527988}
2025-08-14 18:14:36,747 - {'ts': '2025-08-14 16:14:00+0000', 'symbol': 'COMP/USDT', 'price': 48.8, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 48.55064502, 'tp': 49.19896797}
2025-08-14 18:15:52,474 - {'ts': '2025-08-14 16:15:00+0000', 'symbol': 'COOKIE/USDT', 'price': 0.139, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.13803143, 'tp': 0.14054971}
2025-08-14 18:17:03,001 - {'ts': '2025-08-14 16:16:00+0000', 'symbol': 'COS/USDT', 'price': 0.003347, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.00333305, 'tp': 0.00336932}
2025-08-14 18:18:14,100 - {'ts': '2025-08-14 16:18:00+0000', 'symbol': 'COTI/USDT', 'price': 0.05478, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.05444513, 'tp': 0.05531579}
2025-08-14 18:19:25,811 - {'ts': '2025-08-14 16:19:00+0000', 'symbol': 'COW/USDT', 'price': 0.3852, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.38287313, 'tp': 0.38892299}
2025-08-14 18:20:38,618 - {'ts': '2025-08-14 16:20:00+0000', 'symbol': 'CRV/USDT', 'price': 0.9334, 'score': 50, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.9278017, 'tp': 0.94235728}
2025-08-14 18:21:49,597 - {'ts': '2025-08-14 16:21:00+0000', 'symbol': 'CTK/USDT', 'price': 0.336, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.33378795, 'tp': 0.33953928}
2025-08-14 18:23:00,170 - {'ts': '2025-08-14 16:22:00+0000', 'symbol': 'CTSI/USDT', 'price': 0.0683, 'score': 40, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.06800156, 'tp': 0.0687775}
2025-08-14 18:24:13,494 - {'ts': '2025-08-14 16:24:00+0000', 'symbol': 'CVC/USDT', 'price': 0.0945, 'score': 40, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.09408827, 'tp': 0.09515877}
2025-08-14 18:25:28,710 - {'ts': '2025-08-14 16:25:00+0000', 'symbol': 'CVX/USDT', 'price': 4.164, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 4.13094307, 'tp': 4.21689108}
2025-08-14 18:26:40,125 - {'ts': '2025-08-14 16:26:00+0000', 'symbol': 'CYBER/USDT', 'price': 2.53, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 2.51601124, 'tp': 2.55238201}
2025-08-14 18:27:59,024 - {'ts': '2025-08-14 16:27:00+0000', 'symbol': 'D/USDT', 'price': 0.03402, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.03384461, 'tp': 0.03430063}
